Partcipant ID, Activity ID, Sample Count, Min, Max, Std. Deviation, Average, Mean, Median, Kurtosis, Skewness
1,1,30,-0.36323752,-0.11171737,0.05441223061302491,-0.23326322133333338,-0.23326322133333338,-0.22998355,0.5783682447331464,-0.3801644580224509
1,1,30,-0.44418133,-0.17845378,0.06668186725466434,-0.32047716600000004,-0.32047716600000004,-0.317422325,-0.6858546472045273,0.17080629867948974
1,1,30,-0.38576737,-0.19571727,0.04688358366795276,-0.3015125193333334,-0.3015125193333334,-0.30424819000000003,-0.15225445527183856,0.5002099923636679
1,1,5,-0.33110714,-0.18660819,0.05812316772650451,-0.259547478,-0.259547478,-0.23763498,-1.6739279082985192,-0.17330698522081897
1,2,30,-0.47091075,-0.23449858,0.049010862296209656,-0.37567987933333336,-0.37567987933333336,-0.36377921,0.6243259204192695,0.2605109076478405
1,2,23,-0.4117737,-0.23076185,0.04503004117205044,-0.32735343260869565,-0.32735343260869565,-0.32400881,-0.6931845833814125,0.09239832879298787
1,3,30,-0.17198789,0.24954917,0.09436278933584212,0.019078954333333332,0.019078954333333332,0.022794773499999997,-0.3924577544484058,0.103729634544994
1,3,19,-0.11294275,0.21587644,0.08601700782626631,0.047334892056368434,0.047334892056368434,0.030550912,-0.3866039296210766,0.3591548085723504
1,4,30,-0.99796584,-0.75839283,0.06150739816736042,-0.9677895976666665,-0.9677895976666665,-0.99488183,4.317880212233011,2.379944052857087
1,4,17,-0.99759949,-0.95014395,0.010988663927780704,-0.9938867917647058,-0.9938867917647058,-0.99701597,11.776807909923773,3.6902874667062524
1,5,30,-0.99925496,-0.97372342,0.004635386961674827,-0.996114315,-0.996114315,-0.99741285,15.407074975617103,3.8406774215721415
1,5,23,-0.99875228,-0.96959958,0.005872458203660792,-0.9952976230434782,-0.9952976230434782,-0.99708947,12.997006436247975,3.6178825552480065
1,6,30,-0.99677544,-0.59641047,0.138576015793744,-0.9095686379999999,-0.9095686379999999,-0.989409215,0.21867447511456106,1.3888244613423324
1,6,20,-0.99642945,-0.68377891,0.08338862474156865,-0.9557882159999999,-0.9557882159999999,-0.988714695,5.004759313559692,2.566441395116808
3,1,30,-0.63980361,-0.23959216,0.0906477196123354,-0.3856480326666666,-0.3856480326666666,-0.37777646,0.6066178448568977,-0.776739478295623
3,1,28,-0.4571696,-0.23943873,0.058428364041171736,-0.3332588975,-0.3332588975,-0.317710815,-0.23417302939484053,-0.7138157129913357
3,2,30,-0.46700175,-0.10358513,0.10098137622287925,-0.3044991980000001,-0.3044991980000001,-0.309277295,-1.0574502256703053,0.1080998647455131
3,2,29,-0.41678636,-0.10481744,0.06717764457032473,-0.3220450648275862,-0.3220450648275862,-0.31918849,1.976483608573762,1.1242578359080426
3,3,30,-0.30766014,0.38913452,0.17613949218724728,-0.03803540873333334,-0.03803540873333334,-0.095110519,-0.3117024647960296,0.7226552033293634
3,3,19,-0.28552024,0.12056426,0.11398489053503319,-0.08800158242105262,-0.08800158242105262,-0.075627192,-1.0173581502756912,-0.11610460384400345
3,4,30,-0.99742273,-0.82614082,0.04412051620327131,-0.9690407206666667,-0.9690407206666667,-0.991221855,2.5230536480957557,1.8632381208997815
3,4,22,-0.99929993,-0.73807539,0.05523388611579772,-0.9736956668181821,-0.9736956668181821,-0.99169011,12.190512574922142,3.5849544399306295
3,5,30,-0.99877032,-0.85411227,0.03297982093914228,-0.9647584683333332,-0.9647584683333332,-0.9690096,2.0043035774702798,1.3461943850237548
3,5,30,-0.99808454,-0.84052438,0.039444798304008245,-0.9679600223333334,-0.9679600223333334,-0.97964593,3.749591939863005,2.069599960031338
3,5,1,-0.9897404,-0.9897404,0.0,-0.9897404,-0.9897404,-0.9897404,nan,nan
3,6,30,-0.99729655,-0.91935324,0.016515803575951022,-0.9845916636666666,-0.9845916636666666,-0.98947416,6.976512305469621,2.634495259509194
3,6,30,-0.99805933,-0.92987433,0.01794453104847708,-0.9810133356666667,-0.9810133356666667,-0.9912760700000001,1.4086120822378616,1.4801897239968818
3,6,2,-0.98569646,-0.97830519,0.003695634999999975,-0.9820008250000001,-0.9820008250000001,-0.9820008250000001,-2.0,4.510052131984169e-14
5,1,30,-0.5670693,-0.24920218,0.0733348201715902,-0.406089045,-0.406089045,-0.39517999,0.17960629636500203,-0.19727145183580908
5,1,26,-0.32131429,0.04822618,0.07360342143350752,-0.1648787141153846,-0.1648787141153846,-0.175328615,1.4881864251066164,0.9013439910299617
5,2,30,-0.21098562,0.14031488,0.0864628005870624,-0.0688860168,-0.0688860168,-0.077773416,-0.0952686493159196,0.6563191945973178
5,2,17,-0.080961752,0.10077492,0.056311644718802845,-0.0048492389,-0.0048492389,-0.011487665,-1.2718409330319247,0.32809767979794907
5,3,30,0.067492547,0.41169041,0.09790501000202609,0.21854357940000005,0.21854357940000005,0.20226117999999998,-1.0377931995678376,0.32050072974458826
5,3,17,0.26467738,0.54334699,0.07271587996214052,0.3747564594117647,0.3747564594117647,0.34466398,-0.31231569887986277,0.738265891997737
5,4,30,-0.99622099,-0.9236742,0.019036678518623104,-0.9775206173333334,-0.9775206173333334,-0.980888545,1.8089553993514205,1.5517898660609006
5,4,14,-0.99837073,-0.95958558,0.011511460901211922,-0.9882830321428572,-0.9882830321428572,-0.99409937,0.2815615019976594,1.2016205375588205
5,5,30,-0.99767997,-0.81537056,0.04995803509182787,-0.9608648743333333,-0.9608648743333333,-0.986818895,1.3117521262861747,1.5851430030210467
5,5,26,-0.99726295,-0.87573666,0.023959128908854762,-0.9775075173076923,-0.9775075173076923,-0.982697245,9.684920005768232,2.877809720257356
5,6,30,-0.99611334,-0.66689707,0.07838723257038806,-0.951172343,-0.951172343,-0.98711666,5.160025386980287,2.465753512205559
5,6,22,-0.99610956,-0.9079361,0.018677273817687527,-0.9860647368181819,-0.9860647368181819,-0.992598875,11.088309726785338,3.388299437229139
6,1,30,-0.46165828,-0.18174156,0.08127969738229371,-0.3064781436666667,-0.3064781436666667,-0.292603675,-1.029543449584854,-0.3097977425551771
6,1,27,-0.36398492,-0.19360568,0.037900996452119876,-0.2854949103703704,-0.2854949103703704,-0.28526078,0.09196712452003375,0.2878525706958426
6,2,30,-0.17617077,0.01165782,0.04759671028756908,-0.06357393805666668,-0.06357393805666668,-0.0680588155,-0.33326093609412455,-0.3933599914900007
